x & y,area,speed
"[117, 76]",10816,-50
"[117, 76]",10816,-50
"[124, 76]",10816,-50
"[131, 75]",11025,-45
"[139, 76]",11236,-37
"[147, 76]",11664,-29
"[156, 76]",12544,-19
"[164, 76]",12100,-12
"[172, 76]",12544,-4
"[181, 76]",12544,5
"[188, 73]",12769,11
"[196, 73]",13225,20
"[205, 72]",13225,29
"[214, 72]",13225,38
"[223, 72]",13456,47
"[231, 72]",13689,50
"[231, 72]",13689,50
"[240, 72]",14400,50
"[247, 72]",14884,50
"[254, 72]",13924,50
"[259, 71]",14161,50
"[262, 70]",14161,50
"[266, 69]",12996,50
"[266, 69]",12996,50
"[265, 69]",13225,50
"[266, 68]",12996,50
"[265, 68]",11664,50
"[265, 68]",12100,50
"[264, 67]",11881,50
"[261, 68]",12321,50
"[261, 68]",12321,50
"[252, 67]",12321,50
"[244, 68]",12544,50
"[235, 66]",12321,50
"[227, 65]",11449,43
"[218, 65]",10816,33
"[210, 65]",10404,26
"[202, 66]",10000,18
"[193, 66]",10000,8
"[184, 66]",10201,0
"[176, 66]",9801,-8
"[168, 67]",9604,-16
"[160, 65]",10404,-24
"[151, 65]",10201,-33
"[151, 65]",10201,-29
"[137, 65]",9025,-50
"[137, 65]",9025,-43
"[129, 65]",9025,-50
"[123, 64]",8649,-50
"[116, 66]",8464,-50
"[112, 66]",8464,-50
"[105, 65]",8281,-50
"[104, 67]",8100,-50
"[103, 66]",7921,-50
"[103, 66]",7921,-50
"[102, 66]",7921,-50
"[102, 66]",7921,-50
"[104, 67]",6889,-50
"[105, 67]",7056,-50
"[106, 68]",6889,-50
"[107, 68]",7225,-50
"[108, 68]",7225,-50
"[116, 69]",6400,-50
"[124, 69]",6724,-50
"[124, 69]",6724,-50
"[132, 69]",6561,-44
"[140, 69]",6889,-36
"[148, 70]",6241,-28
"[157, 71]",5776,-18
"[165, 71]",5625,-11
"[174, 71]",5625,-1
"[182, 71]",5625,6
"[190, 71]",5625,14
"[199, 72]",5776,23
"[207, 72]",5184,31
"[215, 73]",4624,39
"[215, 73]",4624,35
"[223, 72]",4761,47
"[231, 74]",4624,50
"[238, 73]",4761,50
"[247, 74]",4761,50
"[253, 74]",4489,50
"[258, 74]",4761,50
"[262, 74]",4624,50
"[264, 74]",4489,50
"[266, 74]",4489,50
"[268, 75]",4624,50
"[268, 75]",4489,50
"[268, 75]",4489,50
"[269, 75]",4900,50
"[269, 75]",4761,50
"[269, 75]",4624,50
"[264, 75]",4225,50
"[257, 74]",3969,50
"[251, 75]",4096,50
"[243, 74]",3969,50
"[243, 74]",3969,50
"[236, 74]",3969,50
"[230, 74]",4356,47
"[222, 73]",4225,38
"[215, 73]",3969,31
"[208, 73]",4096,24
"[201, 73]",3844,17
"[193, 73]",4225,9
"[187, 73]",3969,4
"[180, 73]",3721,-3
"[173, 73]",4096,-10
"[167, 73]",4096,-16
"[160, 73]",4096,-23
"[160, 73]",4096,-20
"[152, 72]",3969,-32
"[145, 72]",4225,-38
"[140, 73]",4356,-42
"[132, 72]",4489,-50
"[127, 74]",4624,-50
"[122, 74]",4356,-50
"[119, 75]",4096,-50
"[118, 74]",4624,-50
"[118, 75]",4356,-50
"[118, 75]",4356,-50
"[117, 75]",5041,-50
"[117, 75]",5041,-50
"[118, 77]",4900,-50
"[117, 76]",4761,-50
"[119, 76]",4761,-50
"[119, 77]",4761,-50
"[121, 78]",5476,-50
"[121, 77]",5041,-50
"[125, 78]",5625,-50
"[133, 78]",5776,-43
"[133, 78]",5776,-47
"[140, 78]",6084,-36
"[147, 78]",5625,-29
"[155, 78]",5476,-21
"[162, 77]",5929,-14
"[170, 77]",5776,-6
"[176, 76]",6561,-1
"[183, 77]",6561,6
"[189, 76]",6889,12
"[197, 76]",7396,21
"[197, 76]",7396,17
